ncrp,popdenom,STATE,note
N,CEN,Oregon,Oregon did not report any readmissions to prison from parole observations in the NCRP year-end population data set. 
A,BJS,South Dakota,South Dakota did not report race and ethnicity in the NCRP admissions data set.
A,CEN,South Dakota,South Dakota did not report race and ethnicity in the NCRP admissions data set.
N,BJS,South Dakota,South Dakota did not report race and ethnicity in the NCRP year-end population data set.
N,CEN,South Dakota,South Dakota did not report race and ethnicity in the NCRP year-end population data set.
A,BJS,Vermont,Vermont did not report admission type (and thus readmissions to prison from parole) for observations in the NCRP admissions data set.
A,CEN,Vermont,Vermont did not report admission type (and thus readmissions to prison from parole) for observations in the NCRP admissions data set.
N,BJS,Vermont,Vermont did not report any readmissions to prison from parole observations in the NCRP year-end population data set.
N,CEN,Vermont,Vermont did not report any readmissions to prison from parole observations in the NCRP year-end population data set.
A,BJS,Virginia,Virginia did not report any readmissions to prison from parole observations with 'Hispanic' as the race and ethnicity category in the NCRP admissions data set.  
A,CEN ,Virginia,Virginia did not report any readmissions to prison from parole observations with 'Hispanic' as the race and ethnicity category in the NCRP admissions data set.  
N,BJS,Virginia,Virginia did not report admission type (and thus readmissions to prison from parole) for observations in the NCRP year-end population data set.
N,CEN,Virginia,Virginia did not report admission type (and thus readmissions to prison from parole) for observations in the NCRP year-end population data set.
N,BJS,West Virginia,West Virginia did not report any readmissions to prison from parole observations with 'Hispanic' as the race and ethnicity category in the NCRP year-end population data set.  
N,CEN,West Virginia,West Virginia did not report any readmissions to prison from parole observations with 'Hispanic' as the race and ethnicity category in the NCRP year-end population data set.  
